,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
2498,luodi,170,375191.277739,2381838.31942,1.742695,0.058209643,0.27079022,0.3103422,0.1255492,0.8999889,0.10985531,0.44845796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2499,luodi,171,375194.37337,2381836.33504,1.4801599,0.042616397,0.19360039,0.27883977,0.09083255,0.77330875,0.07924905,0.304892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,luodi,172,375187.705857,2381817.84063,1.9090284,0.074699335,0.31248525,0.36912793,0.15278232,1.1702149,0.13791387,0.5329709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2501,luodi,173,375336.172681,2381913.23413,1.231807,0.01689405,0.10386513,0.085828,0.041889172,0.18777215,0.033395756,0.1551666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2502,luodi,174,375339.81071,2381918.06279,1.0371306,0.0028882623,0.018226933,0.029959623,0.007255629,0.061769843,0.0056973887,0.026014918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2503,luodi,176,375341.464359,2381924.21436,1.2710404,0.021083288,0.11934639,0.13807546,0.05016188,0.32038867,0.041000284,0.17985465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2504,luodi,178,375344.374781,2381927.85239,0.9301096,-0.006776884,-0.03621057,0.04584082,-0.015665084,0.09608626,-0.012806848,-0.050306767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2505,luodi,180,375348.211247,2381930.36594,0.49009722,-0.057813182,-0.3421943,-0.23487651,-0.14065327,-0.3804049,-0.108861156,-0.417715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2506,luodi,181,375345.6977,2381933.73938,1.9039836,0.07528973,0.31129086,0.37377924,0.15309149,1.1937621,0.1385567,0.53047323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2507,luodi,182,375348.541977,2381934.07011,1.1694425,0.016513705,0.07810417,0.1887891,0.035913635,0.46545017,0.030629162,0.11503986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2508,luodi,184,375348.740415,2381937.84043,1.6350915,0.060581475,0.2410131,0.3198245,0.12083431,0.9404175,0.109360114,0.3912357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2509,luodi,187,375354.23053,2381941.87534,2.3503335,0.10879424,0.40304446,0.44142035,0.20940132,1.5805099,0.19670232,0.73772925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2510,luodi,188,375358.397726,2381947.23316,1.6010187,0.054008402,0.23107047,0.30461293,0.11171278,0.8760961,0.09931393,0.37266296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2511,luodi,189,375369.113372,2381954.7738,1.4832561,0.042380102,0.19460583,0.25164208,0.09081528,0.6725179,0.079034925,0.3066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2512,luodi,190,375376.415887,2381985.35969,1.4736439,0.04360956,0.19147617,0.2844799,0.09137938,0.7951696,0.08036223,0.30115035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2513,luodi,191,375368.610663,2381989.06387,1.2164863,0.022292845,0.09767098,0.21412674,0.046662234,0.54493964,0.040608928,0.14541122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2514,luodi,194,375375.886719,2381991.77585,1.237382,0.025108166,0.10609813,0.21548775,0.051613268,0.5493547,0.045330435,0.15870032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2515,luodi,195,375376.415887,2382000.17639,1.0186306,0.0020935386,0.00922936,0.13590063,0.0043956824,0.3145486,0.003781262,0.013112907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2516,luodi,196,375375.952865,2382004.21129,0.6706851,-0.030483432,-0.19711368,-0.12598884,-0.07751581,-0.2237835,-0.059341304,-0.25477925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
