,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,advanced1,advanced5,advanced10,higher3,higher5,higher6,higher7,higher8,simple2,simple4,simple5,simple6,simple7
6093,tonghuashu,9784,372137.4587,2385454.608,0.0788,0.067100003,0.050999999,0.0297,0.151199996,0.222399995,54.236843,141.91136,0.9529835,18.766537,0.000352053,2956.1206,0.000299307,2380.0928,6.2610145,0.41505602,14.31302,658.9809,31730.762
6094,tonghuashu,9785,372135.5801,2385454.449,0.082400002,0.068599999,0.054499999,0.0305,0.123999998,0.1866,54.570637,148.90802,0.9444162,18.190283,0.000351305,2966.9392,0.00029529,2346.2341,6.0763593,0.43862462,13.590028,529.9309,32328
6095,tonghuashu,9786,372133.5428,2385454.423,0.072400004,0.057100002,0.0427,0.0176,0.062199999,0.094599999,54.92105,154.79224,0.93494445,17.945148,0.000349985,2980.2532,0.000290917,2310.7222,5.8773646,0.46387947,12.800554,380.08282,32763.803
6096,tonghuashu,9787,372229.9837,2385528.596,0.084299996,0.074299999,0.071099997,0.042599998,0.141399994,0.211500004,56.054016,173.43155,0.9008103,18.186604,0.000353228,2964.3206,0.000288838,2180.0396,5.079015,0.55141026,12.800554,-302.11896,38242.703
6097,tonghuashu,9788,372231.8357,2385528.755,0.084299996,0.074299999,0.071099997,0.042599998,0.141399994,0.211500004,56.054016,173.43155,0.9008103,18.186604,0.000353228,2964.3206,0.000288838,2180.0396,5.079015,0.55141026,12.800554,-302.11896,38242.703
6098,tonghuashu,9789,372233.3968,2385528.702,0.082400002,0.069300003,0.059300002,0.035300002,0.143700004,0.229000002,56.222992,175.5601,0.88911,19.04831,0.00035217,2977.0579,0.000287881,2197.3306,4.923381,0.5727742,12.00277,-411.17606,39241.254
6099,tonghuashu,9790,372233.8466,2385530.078,0.075099997,0.069300003,0.0539,0.0305,0.098399997,0.1611,56.90859,172.40425,0.8650507,17.71875,0.000348035,3015.573,0.00028093,2175.2441,4.618966,0.6079532,10.831025,-836.3982,40985.17
6100,tonghuashu,9792,372227.8934,2385530.237,0.079700001,0.062799998,0.0438,0.028899999,0.0788,0.120899998,56.80471,171.42917,0.86123616,16.96875,0.000344701,3038.5364,0.000274755,2154.69,4.741914,0.5927621,8.213296,-773.7201,40143.348
6101,tonghuashu,9793,372227.523,2385528.384,0.0669,0.066399999,0.052099999,0.028100001,0.1127,0.205599993,56.2687,170.0547,0.8833497,17.48276,0.000348061,3006.6306,0.000278593,2153.409,5.03251,0.5608429,8.759003,-425.7226,37610.977
6102,tonghuashu,9794,372225.4857,2385528.49,0.076899998,0.060699999,0.036699999,0.0144,0.1074,0.180800006,56.523544,167.79002,0.8777022,17.19,0.000345155,3035.045,0.00027795,2188.6226,4.974301,0.56214654,8.576178,-592.1782,37958.77
