,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,MSAVI,MCARI,NDWI,CMRI
4991,tonghuashu,5030,371400.18,2385647.935,17.204546,0.2852,0.67570555,0.53060913,1.495524,-0.67570555,1.5658429
4992,tonghuashu,5032,371396.5156,2385663.902,18.572369,0.2671,0.66352385,0.5033856,1.2746027,-0.66352385,1.561339
4993,tonghuashu,5033,371410.9618,2385663.664,21.940788,0.3183,0.7168597,0.5924144,1.796574,-0.7168597,1.6296787
4994,tonghuashu,5034,371431.7145,2385609.09,19.01875,0.2883,0.68400663,0.5391614,1.3598092,-0.68400663,1.5841002
4995,tonghuashu,5035,371444.6923,2385609.328,16.637304,0.30179998,0.6758873,0.55538356,1.2556401,-0.6758873,1.5624912
4996,tonghuashu,5036,371426.264,2385598.374,23.710938,0.2907,0.70362055,0.5500986,1.1338831,-0.70362055,1.6226847
4997,tonghuashu,5038,371447.0339,2385580.118,17.079546,0.283,0.67745537,0.5268111,1.290292,-0.67745537,1.5668331
4998,tonghuashu,5040,371436.436,2385575.363,15.08134,0.2943,0.66420275,0.5396078,1.2500664,-0.66420275,1.539835
4999,tonghuashu,5041,371449.771,2385569.278,17.534092,0.291,0.67126995,0.5405814,1.6280961,-0.67126995,1.5633607
5000,tonghuashu,5043,371419.9789,2385570.019,15.115555,0.31759998,0.69710577,0.5744536,1.1623797,-0.69710577,1.5730021
5001,tonghuashu,5044,371439.7168,2385551.339,15.537313,0.2922,0.67139417,0.5376525,1.2702196,-0.67139417,1.5504556
5002,tonghuashu,5045,371424.0005,2385553.403,19.5,0.31080002,0.70625,0.57596195,1.5586193,-0.70625,1.6086891
5003,tonghuashu,5046,371417.0155,2385558.959,18.238096,0.2896,0.6956281,0.5397899,1.4028175,-0.6956281,1.5916678
5004,tonghuashu,5049,371423.7227,2385588.394,28.624998,0.2873,0.6987161,0.5492542,2.3881867,-0.6987161,1.6312056
5005,tonghuashu,5050,371406.7893,2385585.153,14.701493,0.2754,0.6425792,0.5091082,1.1914221,-0.6425792,1.5152028
5006,tonghuashu,5051,371449.6519,2385559.422,14.290321,0.2884,0.6889978,0.52821004,1.0411633,-0.6889978,1.5581961
5007,tonghuashu,5052,371427.6915,2385543.679,21.07639,0.2891,0.65035343,0.54386127,1.7333264,-0.65035343,1.5597589
5008,tonghuashu,5053,371423.6566,2385530.318,15.160622,0.2733,0.65310735,0.5069169,1.3528605,-0.65310735,1.5293496
5009,tonghuashu,5054,371406.9216,2385528.333,19.488636,0.3254,0.7051951,0.5983594,1.5102264,-0.7051951,1.6075801
5010,tonghuashu,5056,371461.1724,2385557.636,11.671111,0.2401,0.59975636,0.4442311,0.9394062,-0.59975636,1.441917
5011,tonghuashu,5057,371462.8122,2385545.788,12.085837,0.2583,0.6386384,0.4745193,1.0272058,-0.6386384,1.4858015
5012,tonghuashu,5058,371463.176,2385534.774,18.982143,0.3021,0.6709458,0.5612235,1.49574,-0.6709458,1.5708566
5013,tonghuashu,5059,371432.879,2385508.662,20.654411,0.2673,0.65869504,0.5066651,1.6154791,-0.65869504,1.5663352
5014,tonghuashu,5060,371420.6552,2385499.931,22.75,0.3132,0.6812933,0.5856873,1.9878287,-0.6812933,1.5970827
5015,tonghuashu,5061,371448.8063,2385596.454,13.822966,0.26799998,0.64615387,0.49502376,1.1247525,-0.64615387,1.5112281
5016,tonghuashu,5062,371464.3373,2385593.477,17.78125,0.2685,0.66228455,0.50442815,1.2277513,-0.66228455,1.5557954
5017,tonghuashu,5063,371471.7457,2385587.048,19.24405,0.30650002,0.70292336,0.5686967,1.3092535,-0.70292336,1.604129
5018,tonghuashu,5064,371472.137,2385570.079,10.717949,0.2653,0.649845,0.48016632,0.7837054,-0.649845,1.4791667
5019,tonghuashu,5066,371473.9823,2385596.785,19.113096,0.3043,0.6882229,0.56496495,1.5000552,-0.6882229,1.5887852
5020,tonghuashu,5067,371464.5102,2385615.001,16.167568,0.2806,0.6793936,0.5209618,0.988737,-0.6793936,1.5628948
5021,tonghuashu,5068,371472.7123,2385620.69,6.970696,0.163,0.4907952,0.30233857,0.40681314,-0.4907952,1.239876
5022,tonghuashu,5069,371468.4128,2385638.086,13.052631,0.2519,0.65735114,0.46715346,0.8828346,-0.65735114,1.515029
5023,tonghuashu,5071,371442.4174,2385629.223,14.626866,0.2739,0.6577389,0.5065352,1.1240305,-0.6577389,1.5297542
5024,tonghuashu,5072,371447.0477,2385651.911,16.085228,0.2655,0.70336944,0.4963151,0.6368165,-0.70336944,1.5863092
5025,tonghuashu,5073,371461.6836,2385666.489,19.0625,0.289,0.6944444,0.5403776,1.3802183,-0.6944444,1.5947559
5026,tonghuashu,5077,371437.6417,2385713.975,17.77202,0.32369998,0.6784928,0.59150636,1.4543089,-0.6784928,1.5719512
5027,tonghuashu,5078,371423.7114,2385711.315,16.994318,0.2815,0.6690848,0.52421665,1.1690592,-0.6690848,1.5579386
5028,tonghuashu,5080,371391.9216,2385718.34,16.315788,0.23279999,0.6407542,0.44156235,1.3943374,-0.6407542,1.5252527
5029,tonghuashu,5081,371390.7971,2385705.27,18.909092,0.3152,0.68250763,0.5814917,1.5678698,-0.68250763,1.582051
5030,tonghuashu,5082,371381.1398,2385728.95,27.221155,0.2727,0.6435414,0.5226282,2.0606248,-0.6435414,1.5726726
5031,tonghuashu,5084,371415.24,2385463.822,26.506578,0.38770002,0.7195903,0.70332956,2.782005,-0.7195903,1.6468805
5032,tonghuashu,5085,371428.0988,2385466.917,12.746988,0.29250002,0.6479751,0.52905524,1.0429674,-0.6479751,1.5024887
