,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,B8
16,baigurang,3857,373128.8821,2381863.802,0.084299996,0.080700003,0.062799998,0.036200002,0.195700005,0.319599986,0.342299998
17,baigurang,3858,373100.9757,2381895.725,0.0788,0.082099997,0.062199999,0.032900002,0.202500001,0.332800001,0.362699986
18,baigurang,3859,373107.9078,2381911.758,0.081500001,0.0814,0.064000003,0.032099999,0.227400005,0.397799999,0.429800004
19,baigurang,3860,373117.8826,2381931.115,0.083400004,0.086400002,0.065200001,0.037799999,0.197999999,0.366400003,0.359100014
20,baigurang,3861,373215.5344,2381846.673,0.083400004,0.082800001,0.069300003,0.0337,0.146699995,0.229699999,0.120499998
21,baigurang,3862,373213.0539,2381836.156,0.0779,0.076399997,0.0581,0.031300001,0.188899994,0.340799987,0.333900005
22,baigurang,3863,373222.9758,2381841.216,0.076899998,0.075000003,0.056899998,0.031300001,0.205500007,0.32980001,0.344700009
23,baigurang,3864,373221.977,2381831.169,0.075999998,0.080700003,0.062199999,0.031300001,0.1919,0.294800013,0.301499993
24,baigurang,3865,373207.4196,2381828.753,0.075999998,0.069300003,0.056899998,0.0241,0.169300005,0.257499993,0.277500004
25,baigurang,3866,373226.5094,2381855.674,0.084299996,0.0836,0.070500001,0.0418,0.189700007,0.288199991,0.269199997
26,baigurang,3867,373236.956,2381866.564,0.084299996,0.073600002,0.0581,0.036200002,0.084100001,0.135499999,0.053300001
27,baigurang,3868,373243.0745,2381876.056,0.082400002,0.082099997,0.069300003,0.035300002,0.202500001,0.305000007,0.32069999
