,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
131,baigurang,4013,373561.1878,2381115.916,-11.949313,-19.423737,-15.686525,0.6546337,17.843285,0.662677,11.680816,-11.026182
132,baigurang,4016,373480.2251,2381157.059,-11.667347,-19.559225,-15.613286,0.55414677,17.297321,0.7423936,9.585255,-9.031108
133,baigurang,4017,373532.6128,2381192.513,-12.386532,-16.625513,-14.506022,0.7837474,24.038744,0.5333678,18.840303,-18.056555
134,baigurang,4018,373485.3845,2381222.94,-12.395722,-18.625622,-15.510672,0.7145356,19.46488,0.60733163,13.90835,-13.193814
135,baigurang,4019,373492.1314,2381249.531,-10.5894785,-18.78987,-14.689674,0.692845,17.885027,0.62817216,12.391551,-11.698707
136,baigurang,4020,373463.4241,2381227.968,-13.148192,-19.394255,-16.271223,0.75196683,22.097795,0.5688908,16.61681,-15.864842
137,baigurang,4021,373449.4011,2381258.924,-11.647622,-17.486347,-14.566984,0.7836133,23.129238,0.533524,18.12438,-17.340765
138,baigurang,4022,373456.4126,2381281.81,-11.194095,-19.37087,-15.282482,0.6524787,19.690197,0.66454595,12.847434,-12.194955
139,baigurang,4023,373475.8595,2381288.425,-11.139342,-19.434265,-15.286804,0.64321285,20.401506,0.67249393,13.122511,-12.479299
140,baigurang,4024,373444.374,2381302.448,-11.143706,-18.73092,-14.937313,0.6469278,19.623785,0.66932434,12.695171,-12.0482435
141,baigurang,4026,373586.6375,2381109.616,-13.061137,-17.621357,-15.341248,0.7712976,22.73684,0.5476343,17.53687,-16.765572
142,baigurang,4028,373562.3321,2381191.736,-12.105968,-17.915941,-15.010955,0.7248083,19.08483,0.5971104,13.832842,-13.108034
143,baigurang,4029,373604.6656,2381164.616,-12.670498,-19.402166,-16.036331,0.7692791,21.93518,0.5499033,16.874277,-16.104998
144,baigurang,4030,373646.6021,2381204.965,-13.558994,-17.801916,-15.680455,0.8203547,23.977018,0.48838368,19.66966,-18.849304
145,baigurang,4031,373662.3448,2381232.217,-10.866522,-16.927021,-13.896771,0.7853288,23.143814,0.531521,18.175505,-17.390175
146,baigurang,4032,373684.0407,2381209.728,-12.318992,-14.941154,-13.630073,0.81248075,25.186478,0.49847966,20.463528,-19.651047
147,baigurang,4033,373705.7366,2381200.467,-11.594051,-15.912414,-13.753233,0.82356,25.746634,0.4842012,21.203897,-20.380337
148,baigurang,4034,373431.7115,2381334.558,-10.468166,-18.112234,-14.2902,0.65047747,15.928322,0.66627455,10.361014,-9.710537
149,baigurang,4035,373603.6857,2380984.985,-12.449858,-19.470816,-15.960337,0.7380887,19.55321,0.583537,14.432003,-13.693914
150,baigurang,4037,373615.5391,2380938.418,-10.388612,-19.810747,-15.09968,0.6255174,16.402924,0.6872903,10.260315,-9.634797
151,baigurang,4038,373665.4925,2380984.35,-10.668482,-18.442476,-14.555479,0.6843588,19.846289,0.6360683,13.581982,-12.897623
152,baigurang,4039,373654.2741,2381014.195,-12.254082,-18.089926,-15.172004,0.74727875,21.32094,0.57389325,15.932686,-15.185407
