,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
228,baigurang,4138,374097.3717,2380755.507,-9.964409,-19.582863,9.618454,-14.773636,0.5088331
229,baigurang,4139,374072.7655,2380772.309,-11.184352,-21.79097,10.606618,-16.487661,0.51325625
230,baigurang,4140,374104.7801,2380786.861,-11.621193,-18.771313,7.15012,-15.196253,0.61909324
231,baigurang,4141,374071.4425,2380799.561,-10.521245,-23.188456,12.667211,-16.85485,0.45372772
232,baigurang,4142,374073.2946,2380829.723,-11.444065,-20.965185,9.52112,-16.204624,0.5458604
233,baigurang,4143,374107.0291,2380828.4,-11.559118,-18.187183,6.628065,-14.873151,0.63556397
234,baigurang,4146,374140.7635,2380768.472,-12.06926,-17.898205,5.828945,-14.983732,0.67432797
235,baigurang,4148,374162.9885,2380756.169,-10.793615,-18.97862,8.185005,-14.886118,0.568725
236,baigurang,4149,374170.2646,2380725.213,-11.662278,-17.68824,6.025962,-14.675259,0.6593238
237,baigurang,4150,374179.7896,2380700.474,-12.580721,-16.685108,4.1043873,-14.632915,0.75400895
238,baigurang,4151,374159.6812,2380811.996,-11.414934,-20.100424,8.68549,-15.757679,0.5678952
239,baigurang,4152,374134.8104,2380824.961,-12.271363,-20.5758,8.304437,-16.423582,0.5963979
240,baigurang,4153,374099.4884,2380852.213,-13.103009,-17.924532,4.8215227,-15.513771,0.73100984
241,baigurang,4154,374074.353,2380855.52,-12.390107,-18.966799,6.5766916,-15.678453,0.6532524
242,baigurang,4155,374057.9488,2380878.539,-12.551401,-15.243754,2.6923532,-13.897577,0.82337993
243,baigurang,4156,374030.5643,2380884.889,-12.4225645,-17.985458,5.562894,-15.204012,0.6907005
244,baigurang,4157,374010.1914,2380903.41,-13.35634,-20.529549,7.173208,-16.942944,0.650591
245,baigurang,4158,374027.9185,2380932.646,-10.659989,-16.74108,6.08109,-13.700535,0.6367564
246,baigurang,4159,373992.1997,2380926.561,-11.986166,-18.633722,6.6475563,-15.309944,0.6432513
247,baigurang,4160,374021.8331,2380970.085,-11.349528,-19.552408,8.20288,-15.450968,0.58046705
248,baigurang,4161,374058.7425,2380970.085,-11.232497,-17.659931,6.427434,-14.446215,0.6360442
249,baigurang,4162,374104.7801,2380967.439,-13.252964,-16.639713,3.3867493,-14.946339,0.7964659
250,baigurang,4163,374102.2666,2380942.568,-12.6346245,-18.95689,6.3222656,-15.795757,0.66649246
251,baigurang,4164,374127.0051,2380934.631,-14.851616,-18.172049,3.3204327,-16.511833,0.817278
252,baigurang,4165,374126.476,2380911.48,-12.57468,-19.498804,6.924124,-16.036743,0.64489496
253,baigurang,4166,374057.2256,2380915.863,-10.852434,-17.859016,7.0065823,-14.355725,0.6076726
254,baigurang,4167,374155.0158,2380931.315,-13.771599,-16.038406,2.2668076,-14.905003,0.8586638
